"nama_sarana_kesehatan";"kode_sarana_kesehatan";"kelurahan";"kecamatan";"jml_balita_ditimbang";"intervensi_yang_diberikan";"status_gizi_kurang";"status_gizi_buruk";"status_gizi_stunting";"status_gizi_lebih";"pemberian_vit_a";"mendapatkan_pelayanan_kesehatan_sesuai_standar";"jumlah_balita_yang_memiliki_tingkat_kecukupan_gizi_makro_minimal_80%_akg"
"Puskesmas Simolawang";"1033330";"Simolawang";"Simokerto";"1452";"";"0";"0";"22";"0";"";"";""
"Puskesmas Kenjeran";"1033326";"Sukolilo Baru";"Bulak";"551";"";"8";"2";"7";"25";"";"";""
"Puskesmas Siwalankerto";"1033285";"Siwalankerto";"Wonocolo";"1060";"";"20";"0";"14";"157";"";"";""
"Puskesmas Simomulyo";"1033313";"Simomulyo Baru";"Sukomanunggal";"2862";"";"68";"25";"7";"203";"";"";""
"Puskesmas Tanjungsari";"1033312";"Sonokwijenan";"Sukomanunggal";"167";"";"10";"0";"7";"28";"";"";""
"Puskesmas Bangkingan";"1033306";"Sumur Welut";"Lakarsantri";"337";"";"13";"2";"10";"88";"";"";""
"Puskesmas Kalijudan";"1033294";"Sutorejo";"Mulyorejo";"165";"";"0";"0";"1";"0";"";"";""
"Puskesmas Simomulyo";"1033313";"Sukomanunggal";"Sukomanunggal";"530";"";"0";"0";"12";"0";"";"";""
"Puskesmas Benowo";"1033308";"Sumber Rejo";"Pakal";"860";"";"0";"0";"2";"0";"";"";""
"Puskesmas Asemrowo";"1033340";"Tambak Sarioso";"Asemrowo";"1310";"";"0";"0";"21";"0";"";"";""
"Puskesmas Sememi";"1033341";"Tambak Oso Wilangon";"Benowo";"474";"";"43";"0";"3";"40";"";"";""
"Puskesmas Tambakrejo";"1033329";"Tambakrejo";"Simokerto";"1020";"";"0";"0";"7";"0";"";"";""
"Puskesmas Tambak Wedi";"1033327";"Tambak Wedi";"Kenjeran";"884";"";"0";"0";"7";"0";"";"";""
"Puskesmas Rangkah";"1033321";"Tambaksari";"Tambaksari";"2710";"";"12";"1";"36";"19";"";"";""
"Puskesmas Tanjungsari";"1033312";"Tanjungsari";"Sukomanunggal";"477";"";"15";"1";"10";"78";"";"";""
"Puskesmas Balongsari";"1033311";"Tandes";"Tandes";"626";"";"0";"0";"1";"0";"";"";""
"Puskesmas Tembok Dukuh";"1033335";"Tembok Dukuh";"Bubutan";"1218";"";"0";"0";"20";"0";"";"";""
"Puskesmas Kedungdoro";"1033317";"Tegalsari";"Tegalsari";"963";"";"0";"0";"12";"0";"";"";""
"Puskesmas Tenggilis";"1033286";"Tenggilis Mejoyo";"Tenggilis Mejoyo";"514";"";"0";"0";"2";"0";"";"";""
"Puskesmas Wonokusumo";"1033333";"Wonokusumo";"Semampir";"4210";"";"139";"1";"25";"1";"";"";""
"Puskesmas Kedurus";"1033280";"Waru Gunung";"Karang Pilang";"691";"";"0";"0";"3";"0";"";"";""
"Puskesmas Wonokromo";"1033298";"Wonokromo";"Wonokromo";"1673";"";"0";"0";"14";"0";"";"";""
"Puskesmas Sawah Pulo";"1033580";"Ujung";"Semampir";"2053";"";"0";"0";"17";"0";"";"";""
"Puskesmas Wiyung";"1033302";"Wiyung";"Wiyung";"687";"";"0";"0";"6";"0";"";"";""
"Puskesmas Dr. Soetomo";"1033318";"Wonorejo Tegalsari";"Tegalsari";"420";"";"31";"6";"9";"28";"";"";""
"Puskesmas Medokan Ayu";"1033288";"Wonorejo Rungkut";"Rungkut";"810";"";"0";"0";"9";"0";"";"";""
"Puskesmas Moro Krembangan";"1033339";"Morokrembangan";"Krembangan";"2622";"";"5";"0";"24";"78";"";"";""
"Puskesmas Pucangsewu";"1033295";"Pucang Sewu";"Gubeng";"431";"";"0";"0";"6";"0";"";"";""
"Puskesmas Pucangsewu";"1033295";"Kertajaya";"Gubeng";"951";"";"0";"0";"4";"0";"";"";""
"Puskesmas Pucangsewu";"1033295";"Baratajaya";"Gubeng";"436";"";"0";"0";"2";"0";"";"";""
